district,sector,cell,village
Nyarugenge,Gitega,Akabahizi,Gihanga
Nyarugenge,Gitega,Akabahizi,Iterambere
Nyarugenge,Gitega,Akabahizi,Izuba
Nyarugenge,Gitega,Akabahizi,Nyaburanga
Nyarugenge,Gitega,Akabahizi,Nyenyeri
Nyarugenge,Gitega,Akabahizi,Ubukorikori
Nyarugenge,Gitega,Akabahizi,Ubumwe
Nyarugenge,Gitega,Akabahizi,Ubwiyunge
Nyarugenge,Gitega,Akabahizi,Umucyo
Nyarugenge,Gitega,Akabahizi,Umurabyo
Nyarugenge,Gitega,Akabahizi,Umuseke
Nyarugenge,Gitega,Akabahizi,Vugizo
Nyarugenge,Gitega,Akabeza,Akinyambo
Nyarugenge,Gitega,Akabeza,Amayaga
Nyarugenge,Gitega,Akabeza,Gitwa
Nyarugenge,Gitega,Akabeza,Ituze
Nyarugenge,Gitega,Akabeza,Mpazi
Nyarugenge,Gitega,Gacyamo,Amahoro
Nyarugenge,Gitega,Gacyamo,Impuhwe
Nyarugenge,Gitega,Gacyamo,Intsinzi
Nyarugenge,Gitega,Gacyamo,Kivumu
Nyarugenge,Gitega,Gacyamo,Ubumwe
Nyarugenge,Gitega,Gacyamo,Urukundo
Nyarugenge,Gitega,Gacyamo,Ururembo
Nyarugenge,Gitega,Kigarama,Ingenzi
Nyarugenge,Gitega,Kigarama,Sangwa
Nyarugenge,Gitega,Kigarama,Umubano
Nyarugenge,Gitega,Kigarama,Umucyo
Nyarugenge,Gitega,Kigarama,Umuhoza
Nyarugenge,Gitega,Kigarama,Umurava
Nyarugenge,Gitega,Kinyange,Akabugenewe
Nyarugenge,Gitega,Kinyange,Ihuriro
Nyarugenge,Gitega,Kinyange,Isangano
Nyarugenge,Gitega,Kinyange,Isano
Nyarugenge,Gitega,Kinyange,Karitasi
Nyarugenge,Gitega,Kinyange,Ubumanzi
Nyarugenge,Gitega,Kinyange,Uburezi
Nyarugenge,Gitega,Kinyange,Ubwiza
Nyarugenge,Gitega,Kinyange,Umucyo
Nyarugenge,Gitega,Kinyange,Umwembe
Nyarugenge,Gitega,Kinyange,Urugano
Nyarugenge,Gitega,Kora,Isangano
Nyarugenge,Gitega,Kora,Kanunga
Nyarugenge,Gitega,Kora,Kinyambo
Nyarugenge,Gitega,Kora,Kivumu
Nyarugenge,Gitega,Kora,Kora
Nyarugenge,Gitega,Kora,Mpazi
Nyarugenge,Gitega,Kora,Rugano
Nyarugenge,Gitega,Kora,Rugari
Nyarugenge,Gitega,Kora,Ubumwe
Nyarugenge,Kanyinya,Nyamweru,Bwimo
Nyarugenge,Kanyinya,Nyamweru,Gatare
Nyarugenge,Kanyinya,Nyamweru,Mubuga
Nyarugenge,Kanyinya,Nyamweru,Nyakirambi
Nyarugenge,Kanyinya,Nyamweru,Nyamweru
Nyarugenge,Kanyinya,Nyamweru,Ruhengeri
Nyarugenge,Kanyinya,Nzove,Bibungo
Nyarugenge,Kanyinya,Nzove,Bwiza 
Nyarugenge,Kanyinya,Nzove,Gateko
Nyarugenge,Kanyinya,Nzove,Kagasa
Nyarugenge,Kanyinya,Nzove,Nyabihu
Nyarugenge,Kanyinya,Nzove,Rutagara I
Nyarugenge,Kanyinya,Nzove,Rutagara Ii
Nyarugenge,Kanyinya,Nzove,Ruyenzi
Nyarugenge,Kanyinya,Taba,Kagaramira
Nyarugenge,Kanyinya,Taba,Ngendo
Nyarugenge,Kanyinya,Taba,Nyarurama
Nyarugenge,Kanyinya,Taba,Nyarusange
Nyarugenge,Kanyinya,Taba,Rwakivumu
Nyarugenge,Kanyinya,Taba,Taba
Nyarugenge,Kigali,Kigali,Akirwanda
Nyarugenge,Kigali,Kigali,Gisenga
Nyarugenge,Kigali,Kigali,Kadobogo
Nyarugenge,Kigali,Kigali,Kagarama
Nyarugenge,Kigali,Kigali,Kibisogi
Nyarugenge,Kigali,Kigali,Muganza
Nyarugenge,Kigali,Kigali,Murama
Nyarugenge,Kigali,Kigali,Rubuye
Nyarugenge,Kigali,Kigali,Ruhango
Nyarugenge,Kigali,Kigali,Ryasharangabo
Nyarugenge,Kigali,Mwendo,Agakomeye
Nyarugenge,Kigali,Mwendo,Akagugu
Nyarugenge,Kigali,Mwendo,Amahoro
Nyarugenge,Kigali,Mwendo,Amajyambere
Nyarugenge,Kigali,Mwendo,Birambo
Nyarugenge,Kigali,Mwendo,Isangano
Nyarugenge,Kigali,Mwendo,Kanyabami
Nyarugenge,Kigali,Mwendo,Karambo
Nyarugenge,Kigali,Mwendo,Mwendo
Nyarugenge,Kigali,Mwendo,Ruhuha
Nyarugenge,Kigali,Mwendo,Ubuzima
Nyarugenge,Kigali,Mwendo,Umutekano
Nyarugenge,Kigali,Nyabugogo,Gakoni
Nyarugenge,Kigali,Nyabugogo,Gatare
Nyarugenge,Kigali,Nyabugogo,Giticyinyoni
Nyarugenge,Kigali,Nyabugogo,Kadobogo
Nyarugenge,Kigali,Nyabugogo,Kamenge
Nyarugenge,Kigali,Nyabugogo,Karama
Nyarugenge,Kigali,Nyabugogo,Kiruhura
Nyarugenge,Kigali,Nyabugogo,Nyabikoni
Nyarugenge,Kigali,Nyabugogo,Nyabugogo
Nyarugenge,Kigali,Nyabugogo,Ruhondo
Nyarugenge,Kigali,Ruriba,Misibya
Nyarugenge,Kigali,Ruriba,Nyabitare
Nyarugenge,Kigali,Ruriba,Ruhango
Nyarugenge,Kigali,Ruriba,Ruharabuge
Nyarugenge,Kigali,Ruriba,Ruriba
Nyarugenge,Kigali,Ruriba,Ruzigimbogo
