name,label,cell
1,Gihanga,Akabahizi
2,Iterambere,Akabahizi
3,Izuba,Akabahizi
4,Nyaburanga,Akabahizi
5,Nyenyeri,Akabahizi
6,Ubukorikori,Akabahizi
7,Ubumwe,Akabahizi
8,Ubwiyunge,Akabahizi
9,Umucyo,Akabahizi
10,Umurabyo,Akabahizi
11,Umuseke,Akabahizi
12,Vugizo,Akabahizi
13,Akinyambo,Akabeza
14,Amayaga,Akabeza
15,Gitwa,Akabeza
16,Ituze,Akabeza
17,Mpazi,Akabeza
18,Amahoro,Gacyamo
19,Impuhwe,Gacyamo
20,Intsinzi,Gacyamo
21,Kivumu,Gacyamo
22,Ubumwe,Gacyamo
23,Urukundo,Gacyamo
24,Ururembo,Gacyamo
25,Ingenzi,Kigarama
26,Sangwa,Kigarama
27,Umubano,Kigarama
28,Umucyo,Kigarama
29,Umuhoza,Kigarama
30,Umurava,Kigarama
31,Akabugenewe,Kinyange
32,Ihuriro,Kinyange
33,Isangano,Kinyange
34,Isano,Kinyange
35,Karitasi,Kinyange
36,Ubumanzi,Kinyange
37,Uburezi,Kinyange
38,Ubwiza,Kinyange
39,Umucyo,Kinyange
40,Umwembe,Kinyange
41,Urugano,Kinyange
42,Isangano,Kora
43,Kanunga,Kora
44,Kinyambo,Kora
45,Kivumu,Kora
46,Kora,Kora
47,Mpazi,Kora
48,Rugano,Kora
49,Rugari,Kora
50,Ubumwe,Kora
51,Bwimo,Nyamweru
52,Gatare,Nyamweru
53,Mubuga,Nyamweru
54,Nyakirambi,Nyamweru
55,Nyamweru,Nyamweru
56,Ruhengeri,Nyamweru
57,Bibungo,Nzove
58,Bwiza ,Nzove
59,Gateko,Nzove
60,Kagasa,Nzove
61,Nyabihu,Nzove
62,Rutagara I,Nzove
63,Rutagara Ii,Nzove
64,Ruyenzi,Nzove
65,Kagaramira,Taba
66,Ngendo,Taba
67,Nyarurama,Taba
68,Nyarusange,Taba
69,Rwakivumu,Taba
70,Taba,Taba
71,Akirwanda,Kigali
72,Gisenga,Kigali
73,Kadobogo,Kigali
74,Kagarama,Kigali
75,Kibisogi,Kigali
76,Muganza,Kigali
77,Murama,Kigali
78,Rubuye,Kigali
79,Ruhango,Kigali
80,Ryasharangabo,Kigali
81,Agakomeye,Mwendo
82,Akagugu,Mwendo
83,Amahoro,Mwendo
84,Amajyambere,Mwendo
85,Birambo,Mwendo
86,Isangano,Mwendo
87,Kanyabami,Mwendo
88,Karambo,Mwendo
89,Mwendo,Mwendo
90,Ruhuha,Mwendo
91,Ubuzima,Mwendo
92,Umutekano,Mwendo
93,Gakoni,Nyabugogo
94,Gatare,Nyabugogo
95,Giticyinyoni,Nyabugogo
96,Kadobogo,Nyabugogo
97,Kamenge,Nyabugogo
98,Karama,Nyabugogo
99,Kiruhura,Nyabugogo
100,Nyabikoni,Nyabugogo
101,Nyabugogo,Nyabugogo
102,Ruhondo,Nyabugogo
103,Misibya,Ruriba
